,evspsbl_CO2_anom,evspsbl_G1_anom,evspsbl_G1x_anom,evspsbl_pic,hfdsn_CO2_anom,hfdsn_G1_anom,hfdsn_G1x_anom,hfdsn_pic,hfls_CO2_anom,hfls_G1_anom,hfls_G1x_anom,hfls_pic,hfss_CO2_anom,hfss_G1_anom,hfss_G1x_anom,hfss_pic,hurs_CO2_anom,hurs_G1_anom,hurs_G1x_anom,hurs_pic,lwsnl_CO2_anom,lwsnl_G1_anom,lwsnl_G1x_anom,lwsnl_pic,p-e_CO2_anom,p-e_G1_anom,p-e_G1x_anom,p-e_pic,pr_CO2_anom,pr_G1_anom,pr_G1x_anom,pr_pic,prsn_CO2_anom,prsn_G1_anom,prsn_G1x_anom,prsn_pic,rlds_CO2_anom,rlds_G1_anom,rlds_G1x_anom,rlds_pic,rlus_CO2_anom,rlus_G1_anom,rlus_G1x_anom,rlus_pic,rsds_CO2_anom,rsds_G1_anom,rsds_G1x_anom,rsds_pic,rsus_CO2_anom,rsus_G1_anom,rsus_G1x_anom,rsus_pic,sbl_CO2_anom,sbl_G1_anom,sbl_G1x_anom,sbl_pic,sfc_heat_CO2_anom,sfc_heat_G1_anom,sfc_heat_G1x_anom,sfc_heat_pic,sfc_lw_CO2_anom,sfc_lw_G1_anom,sfc_lw_G1x_anom,sfc_lw_pic,sfc_nonrad_CO2_anom,sfc_nonrad_G1_anom,sfc_nonrad_G1x_anom,sfc_nonrad_pic,sfc_rad_CO2_anom,sfc_rad_G1_anom,sfc_rad_G1x_anom,sfc_rad_pic,sfc_sw_CO2_anom,sfc_sw_G1_anom,sfc_sw_G1x_anom,sfc_sw_pic,snd_CO2_anom,snd_G1_anom,snd_G1x_anom,snd_pic,snm_CO2_anom,snm_G1_anom,snm_G1x_anom,snm_pic,snw_CO2_anom,snw_G1_anom,snw_G1x_anom,snw_pic,tas_CO2_anom,tas_G1_anom,tas_G1x_anom,tas_pic,ts_CO2_anom,ts_G1_anom,ts_G1x_anom,ts_pic,tsn_CO2_anom,tsn_G1_anom,tsn_G1x_anom,tsn_pic
BNU-ESM,,,,,,,,,7.480123265869423,-1.283581994638837,-2.455486156641669,82.49169940600905,-2.1930899328995537,-1.1230669225463998,-0.9799808211775662,20.293825107952784,0.02466805706198727,,,81.18340000746362,-74.07654370698793,,,92.34005930930131,-0.04500403515868906,-0.002091784695779808,0.0036465466861538287,0.18543423001906256,0.20754251740522944,-0.053211561694467946,-0.08808023669808485,3.0363473609236484,-0.053290393881070874,,,0.2023395513785672,32.910321786680015,4.439832273890488,0.6326885872301204,325.94899987796856,25.43279971518416,2.16095805832515,-0.951009686418729,384.94761901571223,-5.170408667405695,-6.969598542475097,-7.210190625407023,194.43443899507974,-5.015213476044959,-2.1489608114251766,-1.7656784751106365,25.985620890118355,,,,,2.035293179023668,-0.13511452697666115,-0.4253467687393542,6.66467464116776,7.477522071495905,2.2788742155652955,1.583698273648821,-58.99861913774363,-5.287033246645038,2.406649034137601,3.4354670988671927,-102.78552456660643,7.322326605565621,-2.5417634413631163,-3.860813755898235,109.4501991383174,-0.15519514680426028,-4.8206376432300715,-5.444512056691252,168.44881806969642,-71.0743984088543,,,75.78414601966767,0.04634316835415718,,,0.052894700974016176,-45553.2262833481,,,48101.25017359041,5.16212699377882,0.5932375144386963,-0.017725592764104903,11.525822278385458,,,,,0.61031711513942,,,-1.6774927810878437
CCSM4,0.16022294372715384,-0.12180037974201774,-0.14071217506174394,2.962840900074852,0.002383665400083723,-0.005530387988029406,-0.00606108508068226,0.8894862200674116,4.626797040087297,-3.526380992340364,-4.073113199655182,85.8115579773773,-0.43974988161374284,0.5346223915853354,0.5999614166322171,15.592927500445038,-0.6407138677883211,-0.5940572867838512,-0.5909286104055269,80.37778756902414,0.044948520961708344,0.004440274626525194,0.0017238905557737869,0.04158191818313278,-0.0009711727100294235,-0.001031052969571374,-0.0010350683935378005,-0.005463205502681895,0.15925176994136336,-0.12283143077721581,-0.14174724131905592,2.9573776943139096,-0.045115312961079235,-0.01059695786738274,-0.008282241274884417,0.22481214934640886,25.15236364652094,1.767839368580212,0.19973027975186142,322.6604347245636,19.154998628735825,0.6040841333656886,-0.6398948879954105,385.2825275957153,-3.059215942565828,-5.693194462617129,-5.86982262951841,198.70260902028005,-3.350991805118557,-1.3106453466994772,-1.1738246960940764,27.845258153118053,,,,,2.1020936453997088,-0.2270352301128673,-0.3832209243495095,6.83077254925035,5.9973650177850075,1.1637552352144027,0.8396251677471511,-62.62209287115166,-4.187047133031811,2.9917585923919745,3.473151772393038,-101.40448548963496,6.289140800398272,-3.2187938276396295,-3.8563727036946887,108.23525802977505,0.2917758245728521,-4.382549116339959,-4.695997931328122,170.8573508898119,-0.01310509031280463,-0.002303001737229471,-0.0015786400580112547,0.10261230846880157,0.01754333443269425,0.0019886434432698358,0.0009455838528961355,0.04424693315277966,-4.770075532760487,-1.4103332476936785,-1.1850371351572377,42.64804068978985,3.8703724834721207,0.24957660629914713,0.0067748774162925685,11.619798737676103,,,,,,,,
CESM-CAM5.1-FV,0.1642523642614262,-0.17457060506517985,-0.16261528964588123,3.030175270869431,,,,,4.746641370951906,-4.644090734830371,-4.312740222892273,87.7432388921942,,0.527425682631538,,16.654388965187607,,,,,,,,,0.0036875962114917282,-0.0006810961612150612,-0.0005269475349002758,0.00179434796858996,0.1812449513166956,-0.16194671015168227,-0.14983724611421767,3.0186646285134184,,,,,,-0.5930667213661991,,331.1440108887824,,-1.7791336536956806,,385.6600476254566,,-7.056760020668065,,194.67463676221084,,-1.1618643107294737,,27.36006474851292,,,,,,-0.5921642337357156,,8.400907619640847,,1.1860669323295596,,-54.5160367366742,,4.116665086128577,,-104.39762787423241,,-4.708829320641527,,112.79853546582139,,-5.894895744551633,,167.3145719784453,,,,,,,,,,,,,4.6852790452767845,-0.20930179587275077,-0.036597277293340724,11.534128786014,,,,,,,,
CSIRO-Mk3L-1-2,0.14798381186695142,-0.07853205662355212,-0.0827164609430251,2.6707497183808115,,,,,4.2819391244053975,-2.2723398436827296,-2.393416364316195,77.27864109893538,-1.75256202896853,-0.9778921598573973,-0.9635817631153252,22.38944790337346,,,,,,,,,-0.005171908886251103,0.0017291676340912554,0.0018566505102057158,-0.004495380173271529,0.14281189457647425,-0.07680289840326893,-0.08085981986527724,2.6662543450042744,-0.011680988639141798,-0.0014179679500538334,-0.001228380225412537,0.10021994176265757,22.20086582979286,0.8663334027978067,0.47222278160222686,332.27747967608695,18.492009546612167,-0.010947650453317692,-0.352750873928926,389.09630585291234,-1.94625969947802,-5.451958013169531,-5.516718417216879,195.03790061949292,-2.5744490471992627,-1.2206097033359846,-1.195600368510636,31.110604256523793,,,,,1.8076680489284307,-0.10383509074217301,-0.13914609145760082,7.440381438972253,3.7088562831807437,0.8772810532510817,0.8249736555310534,-56.81882617682537,-2.5293772560514185,3.2502318072855303,3.3569979305185598,-99.66808886569802,4.337045280428768,-3.354066940775297,-3.4961440650598945,107.10847026024031,0.6281893999895942,-4.231348200739518,-4.32111793856248,163.9272963338833,-0.023856880482315573,-0.0012947558270025306,-0.000877968020950276,0.13829505287442836,,,,,-2.3856881063041477,-0.12947560424043125,-0.08779682296034608,13.82950554375105,3.73078763823289,0.10317468220845427,0.036162161524053715,12.267427557392022,3.689830268538852,0.07497612361637707,0.008199295135980833,13.279076799324908,,,,
CanESM2,0.1655485679261397,-0.1228024182039893,-0.1278698892843546,2.7447027016257617,,,,,4.849257660580832,-3.548695485595914,-3.696280847704955,79.5827470613695,-2.4148461981663587,-0.21694972653380518,-0.17832396368446624,22.661388012628812,-0.18224420937474406,-0.38167540565774516,-0.3851802031729221,82.04525183789369,,,,,0.00033650181712416294,-0.0013970412876432858,-0.0014275065191580874,-0.004726751788829281,0.1658850641889016,-0.12419945815117428,-0.12929739434188514,2.739975951912362,-0.05005391651255617,-0.010941418232273042,-0.010254056428603942,0.19319380824506927,31.236768836516205,1.1882123209422844,0.6601399422312966,322.5660220112913,25.262633477611075,0.34813678862582265,-0.08970978560546428,381.5773494632982,-5.00674201857592,-6.482527993102735,-6.508463408989769,197.8819688218383,-3.088572215526405,-1.1843957740692446,-1.1509318377099547,29.920182782579708,,,,,1.6215543358493996,-0.6924111511356692,-0.7330767071777373,6.706323525304924,5.974135358905151,0.8400755323164262,0.7498497278367324,-59.01132745200689,-2.4344115009003247,3.7656452512777605,3.8746048519017933,-102.2441351068262,4.055965769009418,-4.458056481616538,-4.607681638484095,108.95045862537529,-1.9181698849843656,-5.298132239944664,-5.357531591118573,167.9617860833108,-0.006499643767412175,-0.001043256316442677,-0.0009473659365201378,0.03255273682587019,0.0036055581071744135,-7.7006399456514e-06,-7.11999345124649e-05,0.016088553383292348,-1.9044064982294753,-0.30332427920941285,-0.2751869110975189,9.199777931608098,4.914438411663639,0.1473235330700966,0.06354640746265972,11.876811692520903,,,,,-3.5785499694880514,-0.6775515287342841,-0.6265694741902621,-230.199178701493
GISS-E2-R,0.07463921562613729,-0.1874427406171777,-0.1591546851898218,3.1657402127748875,,,,,2.1596995876691096,-5.423690558212229,-4.605170413411415,91.60128110008108,0.8481028022686665,-0.40981286273982676,-0.27403858600303366,-18.49784874333999,-0.2630055250361494,-0.6042215804975086,-0.5673921137614144,74.90401157969714,-2.397873181691704,0.48078270158023173,0.17007234841619834,12.04526813587059,-0.0008075083185742765,0.002455558023201257,0.002103355975939405,-0.011832584082614367,0.07383170399690009,-0.1849871848401361,-0.15705133157494,3.1539076302887494,-0.013341485892610416,-0.011840720057582133,-0.012002706589326978,0.21933700711168397,20.38012540253993,-0.8888665597221461,1.4068215224970118,329.5681377320654,14.251301932079059,-2.0790665110564532,-0.316433271095093,388.78453719183085,-4.546437439575726,-7.901556348268855,-7.53941852308273,203.51660436433352,-1.0522849669890135,-1.0781100866207076,-1.0753226287352788,25.180120533396586,,,,,-0.3731319506774611,0.20025686925195885,0.13836762303261452,46.0166520953274,6.128823468843372,1.1901999497168063,1.723254791974611,-59.21639945814794,-3.007802424902664,5.83350343794983,4.879209010803592,-73.10343235887393,2.6346704687793903,-5.633246477760423,-4.7408413072367495,119.12008443699447,-3.4941524414878984,-6.823446280380324,-6.464095907701079,178.33648388221823,-0.007131886315504203,0.0004984027140373659,-0.0003251795046256764,0.044366801726791805,0.005093485747964872,-0.0017785357878056726,-0.0010367978639579667,0.03841218105152787,,,,,2.8187122098569066,-0.3273304008463107,0.012240583070544986,12.37516071070829,2.8162906100012606,-0.3059718643046949,0.031032388860751325,-261.55275416947484,,,,
HadCM3,0.10359389181873091,-0.11530590820464326,-0.12135060837719713,2.8059558031525977,,,,,,,,,,,,,,,,,,,,,0.002748673927623152,0.0018444646930972086,0.0018194958547730986,-0.000713116245864287,0.10634077422397059,-0.11347699680433276,-0.11954704583280718,2.805248296648751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.61853335837349,0.10081328697152969,-0.023939057673082687,10.666953489844136,,,,,,,,
HadGEM2-ES,0.17235896199751144,-0.11679173171656831,-0.13014245677737835,3.074826097863719,,,,,4.978037996836747,-3.376437444197691,-3.7621819956212192,89.10867346341301,-1.3345453208345734,-0.03912916174354564,0.020683058511600905,16.983605652899666,-0.7398582923499077,-0.5944447628620821,-0.5877306995915461,77.45933878128018,,,,,0.0002493411950718616,0.0013823228912619966,0.0014346351542224361,-0.00849031386874546,0.1726083051950411,-0.11540940697717783,-0.12870781978215318,3.066335781953532,-0.06420625793639925,-0.007446940832750271,-0.004826238016662793,0.2441766925142374,32.493126055271205,0.9357581018754786,-0.5213151555907416,324.94829257887557,26.066489508376264,-0.0017077763970974047,-1.2053339213306913,386.0275451856021,-4.8652899199895785,-6.005466176473163,-6.0581106281452435,202.68288510351033,-2.557651804746822,-1.4473380604854924,-1.396072426844892,26.22297719727856,,,,,0.4755058388325679,-0.20509577999716022,-0.23652065735859118,9.288376109566356,6.426636546894947,0.9374658782726186,0.6840187657399994,-61.07925260672656,-3.643492726682666,3.415566591795198,3.7414989246504575,-106.09227909395325,4.118998557967217,-3.6206623084639773,-3.9780195154081497,115.38065519095724,-2.3076381264847328,-4.558128057317475,-4.662038139402142,176.45990792296996,,,,,,,,,-49.30180075656335,1.7300142558560765,4.0862656721456005,6617.785569819267,5.2860614190008945,0.21624580509629432,-0.017838759947739646,11.612329380201402,,,,,,,,
IPSL-CM5A-LR,0.2355946832874003,-0.1496769299134022,-0.1580664195685464,2.649002470538708,,,,,,,,,-1.4013745887280145,-0.03821384940358996,-0.008530315686041234,21.673282796978448,,,,,,,,,-0.0036823023382818766,0.00040008309620118837,0.0004889791612041824,-0.010315356413975171,0.23191238066978537,-0.14927685155015835,-0.15757744523727935,2.6386871193531958,-0.04891673670972713,-0.005036045121163041,-0.00408052025109959,0.2235911800277605,29.288197842141187,1.8951006207537944,1.2986016888654603,312.35352126719533,23.138726183559243,0.011787249900237384,-0.4918138675741375,378.2143486424836,-0.36667293230485143,-7.741799234645271,-7.902396443728037,197.75266381393396,-1.0834077023538455,-1.2264851466177227,-1.2296007323432434,26.703654369515494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.567654167178562,0.07357563205107098,-0.024285264230966774,10.100301663637847,,,,,,,,
MIROC-ESM,0.2396274854734819,-0.09647163748711218,-0.0650873899072355,2.811916896498671,-0.2187970386556795,-0.022226589419877874,-0.04058193528142395,0.49288553131304486,6.933665702765197,-2.7914246553822863,-1.883315640255347,81.36333609112552,-1.799083354095643,-0.5940461855229344,-0.7065700877226853,18.183166184776717,-0.1642635075161678,-0.2960331103232363,-0.2837287347522164,85.27636764096833,,,,,0.003072753884215934,0.0012361268482102838,0.001407627318375613,-0.007610764890051525,0.24270024414220925,-0.09523551331279556,-0.06367976456630275,2.8043061303720416,-0.04982304186496361,0.004595277379074114,-0.00048619379226214066,0.19146534955661065,34.4874646498223,-1.6052225771788358,1.7650386177248834,326.8608100547467,26.371695613483325,-2.5716387704847534,0.13103050187783083,384.74305043594063,-4.484826756648715,-4.528037103761534,-4.524002210067522,192.3119882630436,-3.1433948779467116,-0.16208567658670603,-0.4404742223926341,26.552655435237874,,,,,1.6397550500338234,-0.014064363223656784,0.14036590562344387,8.330590095498057,8.11576903633901,0.9664161933059106,1.6340081158470312,-57.88224038119389,-5.134582470650372,3.3854707075735178,2.5898855957062494,-99.54650219458134,6.774337502975783,-3.3995351972168635,-2.4495198063512618,107.8770923632685,-1.3414319456703367,-4.365951508982306,-4.083528068096712,165.75933295938012,-0.01958120077095138,0.0017737137856827512,-0.00022036438860364993,0.1128755767318887,0.01988359797635146,-0.0034309352519847763,-0.0012538719005485421,0.02744191293066732,-5.874360240051491,0.5321141139126908,-0.06610933715688105,33.86267305589959,5.022567008098999,-0.42640360807315325,0.08241010547370209,12.365894968051979,,,,,0.9441051797902651,-0.027088085448069288,0.06359995210364588,-1.9911237162554218
