,evspsbl_CO2_anom,evspsbl_G1_anom,evspsbl_G1x_anom,evspsbl_pic,hfdsn_CO2_anom,hfdsn_G1_anom,hfdsn_G1x_anom,hfdsn_pic,hfls_CO2_anom,hfls_G1_anom,hfls_G1x_anom,hfls_pic,hfss_CO2_anom,hfss_G1_anom,hfss_G1x_anom,hfss_pic,hurs_CO2_anom,hurs_G1_anom,hurs_G1x_anom,hurs_pic,lwsnl_CO2_anom,lwsnl_G1_anom,lwsnl_G1x_anom,lwsnl_pic,p-e_CO2_anom,p-e_G1_anom,p-e_G1x_anom,p-e_pic,pr_CO2_anom,pr_G1_anom,pr_G1x_anom,pr_pic,prsn_CO2_anom,prsn_G1_anom,prsn_G1x_anom,prsn_pic,rlds_CO2_anom,rlds_G1_anom,rlds_G1x_anom,rlds_pic,rlus_CO2_anom,rlus_G1_anom,rlus_G1x_anom,rlus_pic,rsds_CO2_anom,rsds_G1_anom,rsds_G1x_anom,rsds_pic,rsus_CO2_anom,rsus_G1_anom,rsus_G1x_anom,rsus_pic,sbl_CO2_anom,sbl_G1_anom,sbl_G1x_anom,sbl_pic,sfc_heat_CO2_anom,sfc_heat_G1_anom,sfc_heat_G1x_anom,sfc_heat_pic,sfc_lw_CO2_anom,sfc_lw_G1_anom,sfc_lw_G1x_anom,sfc_lw_pic,sfc_nonrad_CO2_anom,sfc_nonrad_G1_anom,sfc_nonrad_G1x_anom,sfc_nonrad_pic,sfc_rad_CO2_anom,sfc_rad_G1_anom,sfc_rad_G1x_anom,sfc_rad_pic,sfc_sw_CO2_anom,sfc_sw_G1_anom,sfc_sw_G1x_anom,sfc_sw_pic,snd_CO2_anom,snd_G1_anom,snd_G1x_anom,snd_pic,snm_CO2_anom,snm_G1_anom,snm_G1x_anom,snm_pic,snw_CO2_anom,snw_G1_anom,snw_G1x_anom,snw_pic,tas_CO2_anom,tas_G1_anom,tas_G1x_anom,tas_pic,ts_CO2_anom,ts_G1_anom,ts_G1x_anom,ts_pic,tsn_CO2_anom,tsn_G1_anom,tsn_G1x_anom,tsn_pic
BNU-ESM,,,,,,,,,7.563758853954852,-1.2874533018184593,-2.4710591004825773,83.30925953982262,-1.4060313144478123,-0.9543337918627017,-0.8939316912729822,24.76453304153503,-0.2789745205977425,,,79.06952993043122,-74.09462842971524,,,92.38550637270455,-0.06242746587368925,-0.015833033767553795,-0.00960231202507339,0.141532720554362,0.1954579532448979,-0.06407959694091092,-0.09878559471440651,3.02070073058101,-0.05312248480241806,,,0.151163865472913,34.68649989044377,4.899689047804145,0.9165236444007974,339.99209646612053,27.12463672466373,2.448371332553336,-0.8513993986708783,399.73800934024126,-2.1942316935622443,-5.525572505720106,-5.971047569836003,178.85823603000443,-3.3309703628459317,-1.8240462246639844,-1.6225366329030741,18.77380178711982,,,,,2.5408744331170645,0.9915784361934818,0.7844027755570151,-7.735271523787368,7.561863165780018,2.4513177152508234,1.7679230430716615,-59.74591287412072,-6.157727500558337,2.241787100925194,3.3649907947599758,-108.07379261988386,8.698601844305898,-1.2502087179615557,-2.580588067600118,100.3385211047832,1.1367387938261118,-3.701526113144098,-4.348510763221412,160.08443416461347,-71.05548598599471,,,75.7515945430055,-0.03283568023189594,,,0.0965669148362391,-45550.487371253395,,,48095.31827092021,5.192550627090579,0.6410684205001616,0.03243305650392614,14.394816915340957,,,,,0.10575777498908179,,,-0.6404515266073287
CCSM4,0.13392423339336368,-0.1552007341705517,-0.17458874839976835,2.999480319635123,0.04204347804875641,-0.0006350500496410394,-0.0034969679152119237,-1.518744619036598,3.8741841866378337,-4.491611447892097,-5.0526012723531295,86.83438630483262,0.6270221631361679,0.9243503427609419,0.9442884443572268,20.173524731783917,-1.2276918755925692,-1.0793208324886336,-1.0693714326870918,78.04464315539397,0.022074306204315414,0.023472507787300867,0.02356626777079396,0.06361085718728934,-0.003908279875350248,0.00044538665815463396,0.000737332903448018,-0.01043525649655103,0.13001595356738216,-0.15475534537646274,-0.17385141322046582,2.989045062720818,-0.03678316447262575,-0.007967287550343205,-0.006034965217533744,0.16408966938064468,26.432540204537247,1.3569663939941847,-0.32454034664073106,338.9448989645744,20.271710849280907,0.7307083856683789,-0.5796635168686066,402.6813992298496,-2.6393268719617424,-4.474270321302328,-4.597317147750346,182.70908042402127,-2.7740344792042286,-1.0389826356294485,-0.9226342963106724,22.262544151195122,,,,,1.7943305499399553,0.7582313749371874,0.6887530946036406,-10.297874899200952,6.160829355256283,0.6262580083258058,0.25512317022788267,-63.73650026527519,-4.5012063660593356,3.567261086964592,4.108312809703193,-107.00791101983683,6.295536885772265,-2.809029710149673,-3.419559711068956,96.71003613771262,0.13470757619722917,-3.43528770810741,-3.6746828732967742,160.4465362859135,-0.006510622786631046,-0.0007461469841896357,-0.0003595953147735309,0.06964652800795364,-0.03617182710961904,-0.005138359844338761,-0.0030573313188857754,0.08735410775153925,-3.8062436150614474,-1.1363736574018688,-0.9573386983479821,35.808259175634035,3.7855041840166344,0.23961946505726495,0.0018410954975767169,15.06059840279848,,,,,,,,
CESM-CAM5.1-FV,0.17782699023782422,-0.18695184220124572,-0.17408067821623074,3.110451124382316,,,,,5.151435315620375,-5.467019793766838,-5.092349267885183,90.03594837901531,,1.2845709933459766,,19.431472397753282,,,,,,,,,-0.013168337127670494,-0.001692506470716948,-0.0020974293585453822,-0.02197753701043465,0.15990213939663,-0.19340085860566747,-0.18093461764185115,3.093230099244498,,,,,,-0.40772657546222035,,348.65928718993973,,-1.2854278972633892,,404.0452051498261,,-5.551424378813806,,176.72913147788103,,-0.9899182067957852,,21.821895821957053,,,,,,0.4986438495761547,,-9.946103020411563,,0.8777013218011334,,-55.385917959886314,,4.182448786949038,,-109.46742076740574,,-3.683804949854448,,99.52131773449187,,-4.561506198422109,,154.90723567521613,,,,,,,,,,,,,4.388476806945658,-0.1297332178849011,0.02969111537338165,15.29136237127869,,,,,,,,
CSIRO-Mk3L-1-2,0.12302352460461297,-0.08654389000232854,-0.09041520727800467,2.8353188594523715,,,,,3.5597084469068534,-2.504163502393908,-2.616180784655299,82.04047988223547,-1.0761414283706152,-1.1670853149643676,-1.168765312019005,25.111133085349135,,,,,,,,,-0.004539442973154562,0.00018122285805061145,0.0002684272319715998,-0.010027657060238004,0.11848408329989235,-0.08636266141442261,-0.09014677424115147,2.8252911995605205,-0.018298760888685657,-0.00494179266250689,-0.004695050763525853,0.05202522218477911,21.91037820104185,0.48709856863331424,0.09134852944839622,348.2842037900606,17.70734857013025,-0.24587755344964535,-0.5775256513979343,406.57882747210306,-1.6692109355505522,-4.72826109666957,-4.784770615375578,181.28459335938894,-2.127861148704998,-0.7866002126376621,-0.7618232374446166,25.502639803569924,,,,,2.178112609483371,0.4625647657882688,0.43087362708236654,-9.66428334490601,4.203029630911473,0.7329761220828743,0.6688741808462311,-58.2946236820424,-2.4835669134726004,3.671248831014765,3.784946108642245,-107.15161299069092,4.661679885259375,-3.2086839645872374,-3.354072385754307,97.48732945815594,0.4586503982233978,-3.941660896781258,-4.0229473943345795,155.78195346181067,-0.010987003012384658,-0.00039655466876098444,-0.00020091840676518535,0.0974350058934706,,,,,-1.0987003053496753,-0.03965548604509905,-0.020091860123679695,9.743500703229678,3.258461542386101,0.04172178724054909,-0.0177007151022206,15.75176217329853,3.2048574335122986,0.012904869951796627,-0.04605974115259315,16.7033590866616,,,,
CanESM2,0.1432876235302638,-0.13666716224432562,-0.14158707876606913,2.8127667561599647,,,,,4.197311312612911,-3.9432241951973452,-4.086285707898043,81.51555129333282,-1.8356100931803532,-0.22087576855808777,-0.19249847877554416,26.24448368131283,-0.9729597221612067,-0.6593756792962182,-0.6538647632774826,81.6930681165582,,,,,-0.010854826776145687,-0.002321282464822938,-0.0021713142278801684,-0.007856277708549131,0.13243279353426285,-0.13898844771673513,-0.14375839599780527,2.8049104804156233,-0.03860425660728599,-0.004635159451673004,-0.00403818761615965,0.147089694909189,32.568996139864225,0.3530780253642547,-0.21308349731202725,342.5020885034112,26.386263680509273,-0.3151531076592846,-0.7844029590115156,401.92593982144604,-3.8449837735185213,-5.03168333300809,-5.052538353410483,180.93507067775124,-2.203785734896062,-0.7127968706573213,-0.6865942796688955,23.17275014367872,,,,,2.1798328658696633,0.5134443587437829,0.4841592999969997,-9.421565592432835,6.182732459354952,0.6682311330234896,0.571319461699396,-59.42385131803479,-2.361701276088894,4.164099961547336,4.278784185422367,-107.76003496512611,4.541534208579193,-3.6506554688099584,-3.7946247502477632,98.33846926301754,-1.6411981853995883,-4.318886500742423,-4.365944110228497,157.7623206283082,-0.001563763440964665,8.84043484050516e-06,3.647732545240985e-05,0.012262814654075695,-0.035894899025772836,-0.0038808970287104658,-0.0033182839734748615,0.04800325567070435,-0.6482327103233008,-0.01036921495268217,0.0008405778744267067,3.7270712411316307,4.804910303482423,0.041560634274446784,-0.042150321662724366,15.527251633631373,,,,,-9.480329664896715,-1.5227656791050777,-1.3829197021263155,-251.34637107299426
GISS-E2-R,0.012417511292323269,-0.24394521063925856,-0.21627446599335176,3.2165766631945036,,,,,0.35930296736957246,-7.058600061808207,-6.257941920164441,93.0722432651742,-0.6932112974976796,-1.206533076774054,-1.151127221474507,-22.2350454528291,-0.9752882108217733,-1.7010944914249961,-1.6227539273147187,73.15514040060499,-2.0346345248740256,0.7756599458526932,0.47232824421771014,5.74779310529915,-0.0014065042239297804,0.0002534742749470409,7.430297884738948e-05,-0.005290452099820542,0.01101100761935081,-0.2436917340561049,-0.21620016089596827,3.2112862113565526,-0.024761165115830208,-0.0016202698910449675,-0.0041180035623765154,0.1600714241583856,20.622792119936207,-1.7815436798865676,0.636688776872461,346.9579370440207,15.119512036146148,-2.0066469923618797,-0.15811936840606222,405.7613817199905,-3.111543367252807,-5.969395410788991,-5.66093053907656,185.40394510898017,-1.7177703575615126,-0.43920085361326855,-0.5772044213286911,20.65950227204215,,,,,4.4434158860135184,2.9600422513167857,3.120151540026548,35.10380010756329,5.5032800837899885,0.22510331247524817,0.7948081452784521,-58.80344467596976,0.33390833393524133,8.265133096062002,7.409069104119084,-70.83719777697446,4.10950755230148,-5.305090835935246,-4.288917556209384,105.94099790976661,-1.3937729970656392,-5.530194599871237,-5.083726154472259,164.74444284704668,-0.004831295850763383,0.0016889282911899915,0.000985161940502629,0.016718794722394743,-0.029946750837689953,-0.0026963506447709867,-0.005637647489942832,0.07127948946398929,,,,,2.7501416455189123,-0.28608743756928945,0.0416307229011359,16.02411139029919,2.7687602867600845,-0.25976463562830077,0.0671219692172258,-257.95431439768186,,,,
HadCM3,0.0820627757142729,-0.14456477570412218,-0.15082287004234418,2.9355154488746553,,,,,,,,,,,,,,,,,,,,,-0.002221645187100607,-0.0024440208157658905,-0.0024501614974879442,0.00408901395061545,0.07982690257590397,-0.1470299655381342,-0.15329439222873642,2.93972004384777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.158195913198227,0.16215856153653263,0.05181196612373995,14.95439472361209,,,,,,,,
HadGEM2-ES,0.12204075211947396,-0.12832558379712822,-0.1398855495449891,3.173226042932446,,,,,3.506569008380737,-3.719801543855638,-4.053459005268607,91.88801884066814,0.6498945909990788,0.4308718532940645,0.42075909058336336,20.28065349325226,-1.2602539838630946,-0.956324733201896,-0.9422916495824296,75.19239430815921,,,,,-0.011694909394985523,-0.0018891345729785645,-0.0014363803292475157,-0.00628430480837441,0.11034584512710355,-0.13021471672428797,-0.14132192826336043,3.1669417387097103,-0.06280266751790822,-0.00925905069336852,-0.006786823849283419,0.18642514904574653,32.6303615720247,0.8244141926651878,-0.6441365249765454,343.88921085996026,26.230600601807055,0.0019946300419064755,-1.2090379376461442,406.1768067493391,-2.3224422808011695,-4.940878574385209,-5.061777551302242,186.68514193869817,-2.144560263715565,-0.9499818241518199,-0.894825503738641,21.614434899429824,,,,,2.0654154848969144,0.12045286528381993,0.03064965279807197,-9.385561334873554,6.399760970217699,0.8224195626232316,0.5649014126695846,-62.28759588937886,-4.15646359650674,3.288929703132993,3.632699927704465,-112.16867232269782,6.221879087393688,-3.1684768083783297,-3.602050244351389,102.78311100836568,-0.17788198230326202,-3.990896717235927,-4.166952014648558,165.07070700271328,,,,,,,,,-48.70545110144212,1.9903959228868189,4.331134956409187,6614.998713824176,4.810263022417464,0.19927357561525127,-0.013625973653768497,15.6424282760981,,,,,,,,
IPSL-CM5A-LR,0.1940873532814944,-0.19153826475492863,-0.19993546304939258,2.742062295996268,,,,,,,,,-0.07235917460505448,0.2996762933350361,0.30777755904651727,26.527111985007608,,,,,,,,,-0.009571201717837714,0.0005887854160711477,0.0008100244174296511,-0.011371763395837613,0.18451615791281162,-0.19094948356123664,-0.19912544308454283,2.730690531310471,-0.024691912191390553,-0.003115953445384123,-0.0026461257277497763,0.15066323620215927,30.09007436226102,1.6850365941402288,1.0665021308045652,328.41474871569517,24.316541910792296,0.4219177081856742,-0.0984001550897915,396.80424826146185,1.3497498223769924,-7.251723895394775,-7.4390254569469505,190.95540105756456,-1.6299749857537407,-1.174894104525503,-1.164984481769757,25.099958685429137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.426936352873605,0.13921047486001825,0.04584301495598275,13.965665716971428,,,,,,,,
MIROC-ESM,0.22558231394223327,-0.10957862856461986,-0.07828198635358596,2.8741477865383755,-0.006924013406148961,-0.0004181818847560498,-0.0010256831045801218,0.05021579893420296,6.527265941600106,-3.170678054616374,-2.2651039111553644,83.16399857393691,-1.0663610938707748,-0.874247887069604,-0.8921870247635724,23.493784734009473,-0.46145008541112986,-0.19440243774519672,-0.21933880001876105,83.81255648356323,,,,,-0.008542539400830718,-0.0009203191851202552,-0.0016320664942206312,-0.00817020541502056,0.21703977092914073,-0.11049895528345033,-0.0799140600153403,2.86597758405952,-0.03458442760925111,0.00494523608761252,0.0012540370708358783,0.13039717199796055,35.06907985952256,-2.8768002067536713,0.6665083390884661,344.7417121239387,27.69814702357303,-3.3221434623088157,-0.4255322839370024,401.0603095074532,-0.7589427662150001,-3.6997747100508036,-3.42516584763203,175.81365456394514,-3.002605232155176,-0.1890160896979296,-0.45174327998959996,21.245734576748198,,,,,4.15369048119819,0.9795113872360872,1.2759097285059502,-8.408460977654599,7.370932835949468,0.4453432555551302,1.0920406230254827,-56.31859738351446,-5.4609048934225655,4.044926065115433,3.1572910435560573,-106.65778333940818,9.614595351698611,-3.0654145893055613,-1.8813812368875773,98.24932233922934,2.243662518372844,-3.510758702393588,-2.973422637126305,154.56791996477017,-0.011800827241958287,0.0019314722656418315,0.000649178269182718,0.0930117397795007,-0.04269756393747276,0.0009626030155720361,-0.0031142939336466294,0.06253564393294797,-3.5402481305664786,0.5794417505708509,0.19475354893848262,27.903522177212132,4.846558205224149,-0.5652627984617702,-0.059918039625340924,15.425411204253056,,,,,0.15747132211432735,-0.01292296545512639,0.0029881040536847703,-1.0164019588094406
