,evspsbl_CO2_anom,evspsbl_G1_anom,evspsbl_pic,hfdsn_CO2_anom,hfdsn_G1_anom,hfdsn_pic,hfls_CO2_anom,hfls_G1_anom,hfls_pic,hfss_CO2_anom,hfss_G1_anom,hfss_pic,hurs_CO2_anom,hurs_G1_anom,hurs_pic,lwsnl_CO2_anom,lwsnl_G1_anom,lwsnl_pic,p-e_CO2_anom,p-e_G1_anom,p-e_pic,pr_CO2_anom,pr_G1_anom,pr_pic,prsn_CO2_anom,prsn_G1_anom,prsn_pic,rlds_CO2_anom,rlds_G1_anom,rlds_pic,rlus_CO2_anom,rlus_G1_anom,rlus_pic,rsds_CO2_anom,rsds_G1_anom,rsds_pic,rsus_CO2_anom,rsus_G1_anom,rsus_pic,sbl_CO2_anom,sbl_G1_anom,sbl_pic,sfc_heat_CO2_anom,sfc_heat_G1_anom,sfc_heat_pic,sfc_lw_CO2_anom,sfc_lw_G1_anom,sfc_lw_pic,sfc_nonrad_CO2_anom,sfc_nonrad_G1_anom,sfc_nonrad_pic,sfc_rad_CO2_anom,sfc_rad_G1_anom,sfc_rad_pic,sfc_sw_CO2_anom,sfc_sw_G1_anom,sfc_sw_pic,snd_CO2_anom,snd_G1_anom,snd_pic,snm_CO2_anom,snm_G1_anom,snm_pic,snw_CO2_anom,snw_G1_anom,snw_pic,tas_CO2_anom,tas_G1_anom,tas_pic,ts_CO2_anom,ts_G1_anom,ts_pic,tsn_CO2_anom,tsn_G1_anom,tsn_pic
BNU-ESM,,,,,,,0.5336678354656713,0.27971177931940605,-0.2182113311219187,3.905626757583299,1.8674123588110945,-27.600131241475957,-1.004637786265107,,94.5342051122274,-6733.212855988858,,8165.114819773809,0.5097013022969052,0.08934812595390595,1.8448717425174295,0.5330243836319122,0.1025762144859006,1.8373303384924888,0.24718851967400113,,0.8865257810583635,26.393810191833353,5.920009580546122,154.31605309108397,24.87386160847376,4.641747343748676,190.20964648134654,-0.28978477392662416,-0.18553320714613886,4.976714433578957,-0.29295060070737744,-0.15086335336055656,3.7035559289716953,,,,-2.916179566204666,-0.9035309717653766,-6.8020934805689555,1.5199485833596,1.2782622367974525,-35.89359339026257,-4.439294527201358,-2.147124142886316,27.81834259618069,1.5231150033080425,1.2435931709746129,-34.620436058588545,0.003165826780753056,-0.034669853785583404,1.2731585046072624,-4971.6334646956,,5264.979255142342,-0.00044342777853058866,,0.011405042690023598,-3246334.0052808,,3419471.031717133,7.291555916566985,1.3760203730581182,-30.783252856023005,,,,6.460620550340591,,-11.92076730264349
CCSM4,0.02082140797079223,0.015706928508673258,0.05251823010770989,-0.12978849547445392,-0.32844986438370416,4.986529157434225,0.6657340631002402,0.47605495364894246,1.545440414172485,2.750869813690528,1.5821880679156948,-36.16868155521047,-1.337287011844893,-0.7067014046131135,90.09032300856495,0.018525612485038638,0.009334730863743784,0.014374157639090557,0.1710091126067952,0.07551848755272506,1.0483848350186395,0.19183051481607594,0.09122541922899763,1.1009030645126572,0.17084636143515763,0.08089296122455769,1.0652270172723848,18.46711331708326,6.486086869098443,144.48235927755928,15.553988791304533,4.713451074733115,190.24249787979662,-0.08089584288455232,-0.3112257956376778,5.175382916608343,-0.12045806911704915,-0.2696404834742139,4.247592348007437,,,,-0.4639169789641677,-0.32719263083104977,-10.209107052613664,2.9131245257786347,1.7726357943652857,-45.76013860223729,-3.4166038939100716,-2.0582430125231284,34.62324110425883,2.9526869092924173,1.7310504254179548,-44.83234816571595,0.039562225625148995,-0.04158531306157631,0.9277905689081277,-0.2906933842392143,0.0014063862212467804,1.6991589811681314,0.0020671793849182597,0.002086893219502487,0.002193927379236416,-206.22777314874122,-35.453542130624896,824.257437043767,4.593544282701856,1.3318140358140447,-30.343013239730116,,,,,,
CESM-CAM5.1-FV,0.026528464024042627,0.0016095783336947042,0.017058333360449023,,,,0.73686070208809,0.13083868515857988,0.35104714090755795,,1.7028401679240694,-24.810423249615653,,,,,,,0.1752530758325319,0.06792904621235873,1.0958033449165847,0.20573558499101807,0.07349266319293513,1.108907644919606,,,,,6.68320485751596,144.75701323050197,,4.877674958060197,182.5318307576553,,-0.2652487650285922,5.143836062686473,,-0.23921779323150005,4.23159555363681,,,,,-0.054179539172935165,-12.403201119037014,0.0,1.8055298994557987,-37.774817527153374,,-1.8336790579022306,24.459376222144897,,1.779499340068888,-36.86257725019839,0.0,-0.02603097093701756,0.9122405085521722,,,,,,,,,,6.134825826825363,1.4282747160823845,-32.559300923074645,,,,,,
CSIRO-Mk3L-1-2,0.00011343632660465485,6.074812942249427e-05,0.00033840903084907256,,,,0.003282301554881512,0.0017577585457472754,0.009791928261771592,1.1003631047512616,0.21500633630950716,-11.690654823392887,,,,,,,0.116391254080347,0.020976982040059156,0.7876653662758065,0.116504660117012,0.021037705677054874,0.7880037982359923,0.09943818623199874,0.01671190979432602,0.7583347035064263,12.23133245968225,3.546479233406643,165.52073335198455,12.598800688544628,3.1441691238552494,184.4536927626936,-0.3755249831895622,-0.26386092723570176,6.070348180201636,-0.3111213461189877,-0.21553853741485796,4.834990565485811,,,,-1.5355181412507006,0.13722275288714858,-6.016738343500044,-0.36746822886241404,0.4023101095513617,-18.932959410709042,-1.1036453062434362,-0.2167640584277759,11.6808628979935,-0.4318728007705346,0.3539868165799902,-17.697601256439597,-0.06440363707057384,-0.0483223898208438,1.235357614715824,-0.3661248661785008,0.025061260145313735,1.794254821826153,,,,-36.612486109572075,2.5061274053379066,179.42548372651646,3.813912180930398,0.9769203705576608,-32.01674961311642,4.099347047528834,1.0509320313140549,-35.443324033497525,,,
CanESM2,-0.005580599460041882,0.0009769476053624621,-0.01243522071785495,,,,-0.1829415027406237,0.03202773269397319,-0.4078197125352593,1.9346166142359635,0.7593737534010359,-31.478535346271308,-0.061773643732891514,-0.002762192133843655,83.77630207045779,,,,0.35913051011861086,0.013238200417246881,0.8681923439952803,0.35354992928154827,0.014215159775258446,0.8557571232752228,0.33036223728507863,0.012332233196319042,0.8528249018055615,29.4949485990345,5.07849963498569,145.9733288652845,27.251963203750904,3.8773581500923626,186.27951375353942,-0.5035761421466738,-0.4407262518845858,6.7272776898203865,-0.35054759109018097,-0.33633466337026174,5.376033563702732,,,,0.33828229417443456,0.3053492743849979,-7.068586539738483,2.242985395283661,1.2011414848933626,-40.30618488825496,-1.7516751435536868,-0.79140149076974,31.8863549762128,2.0899573999482826,1.0967507690606482,-38.95494159215724,-0.1530285510564937,-0.10439158851432428,1.3512441261176553,-0.005308674800412305,0.0002212393613749697,0.3988815279304343,0.009093824747065184,0.0006067830776698678,0.00027910900367917604,-4.10802717002538,0.03867544278945445,112.16407240608261,8.254752319931537,1.251300215907257,-31.788495720631744,,,,8.232332224634845,1.0265221769741792,-30.023455760934343
GISS-E2-R,0.0337551098943045,0.006498718811075194,0.19550084126580233,,,,0.9767104106295825,0.1880417487573407,5.656853110056049,-0.9199580874301958,0.48960464350585653,48.8669058858026,-1.8137241228331504,-0.852051953134918,90.20954167198383,-23.489816572384,-0.42131594208967726,145.9995259476769,0.05072003337941777,0.04295621162275243,0.6944485077282563,0.08447514614067708,0.049454919130083264,0.8899493482972372,0.08023156357938288,0.045699098714430675,0.8833623703614206,13.569259831205443,2.732676578096715,131.88419261484202,12.062206123568274,2.465961241193071,187.69533377401063,-0.08360362447963343,-0.2889919879962708,5.524199467560599,-0.08684083616119143,-0.21304960819162266,4.176721073323626,,,,1.45353879208335,-0.4868740608311981,-108.98742182719675,1.5070537076372048,0.2667153369036157,-55.81114115916861,-0.05675256766767234,-0.677646365173878,-54.52375884005272,1.510290574402191,0.19077211586418485,-54.46366217348612,0.003237210784251321,-0.07594238149447308,1.3474783943399582,-0.0484827315428451,-0.0007435386378791264,0.4115007116193067,0.003200596657690149,0.006076656906105591,0.009846309267546339,,,,3.9328465791060765,0.7738021509496278,-30.988803267681483,3.934954728451885,0.7756040392699788,-304.19008775743225,,,
HadCM3,-0.04864768140172021,0.002043529812081113,0.4071377872218519,,,,,,,,,,,,,,,,0.170644204217402,-0.021155527072865832,0.35673377745019264,0.12199652470691558,-0.019111998834562827,0.7638715654364155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8637889528960732,-0.07800412160386117,-4.840935967676914,,,,,,
HadGEM2-ES,0.011300710777190403,0.002544196863919908,0.002672927640969878,,,,0.32071834757527035,0.08216607092796996,0.008382176912352213,2.3965343312030534,1.47946367014152,-26.66474338779323,-3.6390897612008644,-1.3801583825136419,95.53678204561115,,,,0.42141721328277293,0.0543079898838148,0.7781954811862282,0.43271791917861957,0.05685218698222738,0.7808684126970237,0.4081657744264149,0.054353924971976886,0.7784580609142613,34.75633355781315,6.596754257140361,150.4813392567525,32.955525827539844,4.838382649570917,184.10433321108465,-0.2911331368472405,-0.1791665246083367,5.108505258412272,-0.3361248237909842,-0.15230717366343693,3.776838738638706,,,,-0.8714535881401346,0.1698813044427565,-5.634965762471695,1.8008077302733696,1.758371607569444,-33.622993954332166,-2.7172527695324007,-1.5616296672509051,26.6563612312485,1.8457990710247536,1.7315110416545991,-32.29132695902312,0.04499168480123039,-0.026859348990805998,1.3316665192472361,,,,,,,-8284.335740474839,-427.0713483391446,189854.03029026068,9.785080633725137,1.393994222036703,-32.23175248683881,,,,,,
IPSL-CM5A-LR,0.0667404143512779,0.009139094899484251,0.0781762392865624,,,,,,,2.2438404653291,2.0351359326653267,-38.05209845309665,,,,,,,0.3409047984979905,0.03878548484684641,0.6850122923017996,0.4076452287292305,0.047924577267034474,0.7631885254161848,0.3342091761612809,0.047089570214392196,0.7611073475226326,28.90071887364175,5.171763679533058,133.37143521775022,26.752157770894712,2.582054549764848,184.80879613362026,-0.31408268246374815,-0.30019356904584216,4.293332956505556,-0.3641137843475333,-0.21310976145263938,3.1120811477084134,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7284077950687475,0.6116947121566909,-31.971741057401445,,,,,,
MIROC-ESM,-0.008128347728548035,0.006803875279391879,-0.06573103522376332,0.7402017885028833,-0.4064811720167496,3.381886606067394,-0.23519527054545764,0.19687137946180533,-1.9019396681378153,5.091984013200417,1.4598634441087839,-34.1706080557213,-2.753746409313237,-0.45120520238715756,96.35303880597995,,,,0.5927653676926896,-0.03482453499357274,1.2057556149832904,0.5846370120961475,-0.028020666209525036,1.1400245888040208,0.4510056190063081,-0.018379121017536137,1.118835873131968,39.03313976686161,3.9948091163727497,160.37666447375034,35.02789724058911,1.7653250072476965,201.6807567135565,-0.5749407310743146,-0.2612963458043094,5.252100329263265,-0.6358762030582588,-0.21014805344156784,4.190232779985337,,,,-0.7906099622650746,0.5215983190715732,-4.169676071928219,4.005242526272497,2.2294841091250177,-41.304092239806124,-4.856788738169712,-1.656735066729233,36.072547780147474,4.066178773575011,2.178333141071896,-40.24222379965537,0.06093547198394367,-0.0511482923627411,1.0618675492779284,-1.3724661109456666,0.17390098736045534,2.01282456597043,0.05463189010543028,-0.005879798140140151,0.013462738828439392,-411.7398382579257,52.17030197525992,603.8473738799394,9.778322543154275,0.3654581252515712,-26.79209975311771,,,,5.529504681859754,0.47898556885782995,-20.954957737076843
