,evspsbl_CO2_anom,evspsbl_G1_anom,evspsbl_pic,hfdsn_CO2_anom,hfdsn_G1_anom,hfdsn_pic,hfls_CO2_anom,hfls_G1_anom,hfls_pic,hfss_CO2_anom,hfss_G1_anom,hfss_pic,hurs_CO2_anom,hurs_G1_anom,hurs_pic,lwsnl_CO2_anom,lwsnl_G1_anom,lwsnl_pic,p-e_CO2_anom,p-e_G1_anom,p-e_pic,pr_CO2_anom,pr_G1_anom,pr_pic,prsn_CO2_anom,prsn_G1_anom,prsn_pic,rlds_CO2_anom,rlds_G1_anom,rlds_pic,rlus_CO2_anom,rlus_G1_anom,rlus_pic,rsds_CO2_anom,rsds_G1_anom,rsds_pic,rsus_CO2_anom,rsus_G1_anom,rsus_pic,sbl_CO2_anom,sbl_G1_anom,sbl_pic,sfc_heat_CO2_anom,sfc_heat_G1_anom,sfc_heat_pic,sfc_lw_CO2_anom,sfc_lw_G1_anom,sfc_lw_pic,sfc_nonrad_CO2_anom,sfc_nonrad_G1_anom,sfc_nonrad_pic,sfc_rad_CO2_anom,sfc_rad_G1_anom,sfc_rad_pic,sfc_sw_CO2_anom,sfc_sw_G1_anom,sfc_sw_pic,snd_CO2_anom,snd_G1_anom,snd_pic,snm_CO2_anom,snm_G1_anom,snm_pic,snw_CO2_anom,snw_G1_anom,snw_pic,tas_CO2_anom,tas_G1_anom,tas_pic,ts_CO2_anom,ts_G1_anom,ts_pic,tsn_CO2_anom,tsn_G1_anom,tsn_pic
BNU-ESM,,,,,,,7.044363712359491,1.2704692026380755,49.913112772147976,2.36441289041764,-1.2187315325846484,41.247225529477994,-1.1266369755747974,,70.42355083706613,-16.676912736057222,,17.61203180030932,-0.04739957307055087,-0.06131377328036669,0.9636058333999454,0.18555002396297748,-0.029439572593322083,2.6886030102083716,-0.07083241212012834,,0.20867576654776065,39.40525436016088,6.307606419758656,317.5062324918874,33.658238905593976,2.456850358472707,384.63885368712454,-2.9152258058534812,-7.9066966576520485,195.0191067973417,-6.908527105852102,-4.141317844153043,36.384377652957234,,,,0.3315396845041326,0.03363867086206984,0.34177053405124413,5.747015454566828,3.8507560612859066,-67.13262119523712,-9.408776499188022,-0.05173766133492563,-91.16033824895624,9.740316237077081,0.08537633265846978,91.50210886417642,3.993301366355297,-3.7653786985713396,158.63472906362966,-1.909911847886096,,2.0165306808693226,-0.08277269226277514,,0.2698090012963906,-1277.9991043820264,,1326.9355189653954,6.366444438003432,0.7076876962773522,12.155043864078548,,,,0.9909799101065633,,-2.3241450470000626
CCSM4,-0.03276511479293176,-0.22256810710319574,1.7883457071097888,0.06572568492844222,0.038535563386447036,-0.7608117322235869,-0.9663423165100795,-6.444841577203242,51.81010116847802,7.110901203745783,4.52881776449604,33.11307043049585,-4.330023250562689,-2.939802011344696,70.31014714710233,-0.002988680026113133,-0.0021464658106203627,0.1977232460974707,0.22071371695382658,0.14764097118269404,0.7931683998037936,0.18794859565308997,-0.07492714032247916,2.5815141097694845,-0.05085320207124519,-0.009404358087975517,0.21570502524456261,29.969838587696188,2.7060159853039067,313.0137485416423,27.522609180522068,2.190001424184345,386.8169483994008,0.869042502233242,-4.072687703560035,200.53238161846295,-2.8127206293964235,-1.554309565821292,41.57641953273484,,,,-0.01556677547253732,-0.08633973888136645,0.22959081707343157,2.447229407174106,0.5160145611195333,-73.80319985775846,-6.144558822855402,1.9160238785263175,-84.92317163318235,6.128992059915575,-2.002363596021894,85.15276246005496,3.6817630140435824,-2.518378290037589,158.95596217967773,-0.02408104015589336,-0.004881389502878086,0.07235280954684664,-0.05974765587316638,-0.010421711631095065,0.2687429612640072,-7.7615718956930575,-2.2369187068388072,20.802375827081097,5.0349167274722735,0.4887649478700258,12.322896497598935,,,,,,
CESM-CAM5.1-FV,0.0349215100145428,-0.23250213234246964,1.7259791711245307,,,,0.9904685238159061,-6.729265406620776,50.00040402498008,,4.415074846624702,31.36669096472372,,,,,,,0.20543664200411393,0.08694224546731744,0.6770614218877269,0.24027075863345715,-0.14564728107124658,2.403127984846921,,,,,0.220122195038698,323.84334427326473,,0.0047020424884749445,389.28942593579575,,-4.068545265861189,186.2255106452842,,-1.4897853791571691,39.09416780926216,,,,,-0.049148829522648096,0.31816607444095835,6.1203971688673136,0.21542015255020885,-65.44608166253101,,2.3141905760140418,-81.36709504761112,,-2.3633394256930416,81.68526107683489,-31.555764067479615,-2.5787599589414185,147.13134283786633,,,,,,,,,,5.943562410041139,0.10818993142788891,12.650791818552374,,,,,,
CSIRO-Mk3L-1-2,0.06667871313199258,-0.011680746560927213,1.3088842770278442,,,,1.9293609643903835,-0.3379844794971163,37.872810513280335,1.347459403494078,-2.040827173613131,45.994501155011186,,,,,,,0.004977888635346428,-0.029898492688219314,0.7173883956222353,0.07165659771474253,-0.04157923195552571,2.026272666061664,-0.029455354022020833,-0.0021695840980539283,0.14787607755061077,28.278897348963255,1.6014407405089628,316.33779551700144,24.748472753964734,-0.19463034955560943,397.00300540882097,-1.9876181669822017,-5.5356637507680375,210.12056968100705,-1.7316910311348934,-1.327579983862499,45.535750406036385,,,,-0.0023241268477678517,-0.03320028301268396,0.052297653847305614,3.5304245949986495,1.7960710900647143,-80.66520989181959,-3.2768201931743874,2.3788119735494604,-83.86731177511271,3.274496261053187,-2.412011933453911,83.91960928478753,-0.2559271125616931,-4.208084331023599,164.58481953818102,-0.020016866803152428,-0.0017902044032218345,0.07220439334974653,,,,-2.001686729028881,-0.17902044941971074,7.220439488282558,4.540920869067648,0.0718700810852333,13.726406525839245,4.545460164743279,0.03296007977849058,14.655872967594284,,,
CanESM2,-0.036136675372592464,-0.16294294894619554,1.3554467813664512,,,,-0.7939721393614292,-4.67694963580179,39.5245142921076,3.6027266057424043,1.0616885083696133,43.9062658787532,-2.7038054968776777,-1.895135016435205,73.95460612971536,,,,0.14794474169669458,0.02008108288247401,0.6372202406549341,0.11180805995733101,-0.14286187483576795,1.9926670256953134,-0.04525858485979331,-0.006742892896348052,0.15855559856415533,39.271067932958715,1.8531028081689556,315.0563004743164,37.01906737478657,1.2415278484246528,389.5925014816693,-3.0720501786085777,-5.802175948666417,205.21601262271545,-3.426569682362164,-1.4468130370060948,46.27868508773811,,,,-0.20223554456071124,-0.12852664224441146,0.9703464259320906,2.252000558172085,0.6115749597442743,-74.53620100735283,-2.808754503326881,3.6152609871511316,-83.43078006746029,2.6065188477513317,-3.7437878290759414,84.40112667715988,0.3545196004142781,-4.355362875615356,158.93732749112087,-0.017858946325729142,-0.0027383368324068805,0.04691878679161306,-0.04563306570104003,-0.008342796905631472,0.17510214420763817,-5.392189324830133,-0.8276157151642192,13.897737910982611,6.486777150895129,0.32738960418672036,13.6305369291765,,,,-28.501884236420494,-4.500848085358996,-172.41741434791095
GISS-E2-R,-0.201270098992667,-0.34576690886571537,1.7663313143742632,,,,-5.823787623533583,-10.004829666089911,51.10912461379953,-5.940978201275676,-3.8575867439063245,-40.687447959890896,-3.7367920092927207,-3.2883715026187943,63.65791450083538,-7.637338654807683,2.322065655412999,21.702497267993415,0.08258422997802206,0.022376166296135813,0.8509999652776946,-0.11868587108389894,-0.3233907394173454,2.617331281619434,-0.03477830581375724,-0.00442635552601478,0.24913114779306944,27.915260755768713,-0.33889253542201914,326.3376714305531,23.672732001134136,-1.2553873746832096,391.39530120083475,-7.031701940596037,-8.41333405964562,196.71826202321935,-3.1904818484911317,-1.3135123142353677,38.52138642322954,,,,12.166073071787764,7.679088368180302,82.71756962300587,4.242528754634506,0.9164948392611336,-65.05762977028161,11.764765812953865,13.862416383311535,-10.42167663942906,0.40130728830160933,-6.18332777011544,93.13924614511387,-3.8412201765187888,-7.099821766537417,158.1968757133726,-0.02121141657306387,0.004111999590561577,0.07440810726722116,-0.021739607476159717,-0.011847179960662507,0.23563979291314044,,,,4.247834010359195,-0.19875869963270887,13.77909902739676,4.240585451830668,-0.16863262794578304,-260.15603884503184,,,
HadCM3,0.005878264492740648,-0.139613866705115,2.9642663745605504,,,,,,,,,,,,,,,,-0.10184592261540426,0.031473246922754314,-0.14988853698382498,-0.09588584789165999,-0.1081223955209829,2.8144380283203736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.601731462023663,-0.0038789159551217978,13.861441896842516,,,,,,
HadGEM2-ES,-0.07353765876348062,-0.13318421803150726,1.7351198301527564,,,,-2.220297949112208,-3.8584894462485693,50.45174353932642,7.549374561912828,3.2913556894511586,37.01228340902861,-5.84189013932145,-2.879559011249057,67.35839955940818,,,,0.11018479500472989,0.06791078849083099,0.6524373979878488,0.03664713722091717,-0.0652734252666427,2.3875572257432114,-0.07503641013225715,-0.011660156032477692,0.24531016780928366,40.46642585526223,2.5580849298174257,315.1740775562105,39.15863290701276,1.643622667432453,392.15367394710034,0.46055247255597465,-4.508096267431824,208.00932164729795,-3.654682934934023,-2.9754160851327853,41.635311923204654,,,,0.09395162657440559,-0.051084584380203246,1.930386704773751,1.3077929482494426,0.9144622623849159,-76.9795963908898,-5.329076534588566,0.5671337658930611,-87.46402699632576,5.423028218896178,-0.6182183477760361,89.39441366753888,4.115235373379022,-1.5326802612844972,166.3740096916657,,,,,,,-6.84260717651874,-1.0946095518593673,18.54757653209447,7.24998120860743,0.7130153625081981,12.453674479440675,,,,,,
IPSL-CM5A-LR,-0.017380109175375358,-0.2455895714935019,1.441049016364721,,,,,,,5.4273663085599395,1.8276958661475575,44.43803571707761,,,,,,,0.133466219353914,-0.0025295552004998,0.5593836326053121,0.11608611547110748,-0.24811912518438994,2.000432647234833,-0.07659009760174246,-0.009040354480451263,0.26352049507540654,37.37282402892163,3.277288855874133,294.4042374686782,34.00419863192025,2.2196616562238205,379.97667106298127,-0.5655269222023662,-8.875828160972787,220.51617185117237,-2.2252101238166375,-2.5048510665101276,47.65325001749874,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.203628690304733,0.4298902684557291,11.284241428100437,,,,,,
MIROC-ESM,0.1658836754782882,-0.1024200633186989,1.789469062457014,-0.42035153659581603,-0.02450012250910305,0.8248769045053611,4.7998748551399615,-2.9635434721263536,51.77861871491915,4.042579540524116,-0.559928792689135,42.06962730586726,-2.071512379196051,-0.01012832319258905,70.0481083164409,,,,0.050368215932462324,0.0054170798986991064,0.7377036569244696,0.21625189100731745,-0.09700298770425864,2.527172721892607,-0.07451724207038951,0.0035382657388058625,0.2009695913621809,45.02399095565846,-1.2391310046606918,318.66972261659123,39.13894567211889,-3.2291799194007353,387.3498632299961,-3.980256223619506,-6.8300547715533355,212.9529194726854,-6.803143324336226,-1.3094531397700493,49.50703736532177,,,,-0.1345226849546718,-0.007079662854653113,0.9174954264545252,5.885045283539526,1.9900489147400293,-68.68014061340482,-8.842454428777302,3.523472204111357,-93.84824596174957,8.707931563570355,-3.5305520435397,94.76574154611913,2.8228872484998533,-5.520601496318847,163.44588196039484,-0.026769174730059745,0.003902789238620634,0.05019862099188777,-0.09339961646028076,0.0005169455680319457,0.2114211720516915,-8.030752430382128,1.1708367684127001,15.059586303159312,6.859240482136968,-0.5668757955515815,14.144320060331388,,,,1.6370396333810526,-0.013525175794459887,-2.71725566593485
