,evspsbl_CO2_anom,evspsbl_G1_anom,evspsbl_pic,hfdsn_CO2_anom,hfdsn_G1_anom,hfdsn_pic,hfls_CO2_anom,hfls_G1_anom,hfls_pic,hfss_CO2_anom,hfss_G1_anom,hfss_pic,hurs_CO2_anom,hurs_G1_anom,hurs_pic,lwsnl_CO2_anom,lwsnl_G1_anom,lwsnl_pic,p-e_CO2_anom,p-e_G1_anom,p-e_pic,pr_CO2_anom,pr_G1_anom,pr_pic,prsn_CO2_anom,prsn_G1_anom,prsn_pic,rlds_CO2_anom,rlds_G1_anom,rlds_pic,rlus_CO2_anom,rlus_G1_anom,rlus_pic,rsds_CO2_anom,rsds_G1_anom,rsds_pic,rsus_CO2_anom,rsus_G1_anom,rsus_pic,sbl_CO2_anom,sbl_G1_anom,sbl_pic,sfc_heat_CO2_anom,sfc_heat_G1_anom,sfc_heat_pic,sfc_lw_CO2_anom,sfc_lw_G1_anom,sfc_lw_pic,sfc_nonrad_CO2_anom,sfc_nonrad_G1_anom,sfc_nonrad_pic,sfc_rad_CO2_anom,sfc_rad_G1_anom,sfc_rad_pic,sfc_sw_CO2_anom,sfc_sw_G1_anom,sfc_sw_pic,snd_CO2_anom,snd_G1_anom,snd_pic,snm_CO2_anom,snm_G1_anom,snm_pic,snw_CO2_anom,snw_G1_anom,snw_pic,tas_CO2_anom,tas_G1_anom,tas_pic,ts_CO2_anom,ts_G1_anom,ts_pic,tsn_CO2_anom,tsn_G1_anom,tsn_pic
BNU-ESM,,,,,,,8.897928847409105,1.9335610290544736,59.33625952297122,3.3188051024309146,-0.7201005988689531,53.68656763809342,-1.5290473462573217,,65.52660202459083,-16.720529391680664,,17.595966047351098,-0.10833318900177208,-0.06974971282260661,0.49858826527756883,0.19062863394369733,-0.01113967376915248,2.549249400581829,-0.02750130549771708,,0.02829374950236663,41.93460277572035,5.925892276101763,348.8701030753572,36.603004060491514,2.5549949133486507,420.9430362932226,3.118638309612095,-6.111143708638281,227.22819445636435,-3.687664857506757,-3.880952989638274,33.02810704026955,,,,-0.07883119870883348,-0.07275229690854701,9.104326367985216,5.331598715228793,3.370897362753084,-72.07293321786537,-12.216734032934951,-1.213460407956262,-113.02282717042824,12.13790264799654,1.1407080610873805,122.12715359517368,6.806303250255041,-2.2301903543384185,194.20008724005615,-1.8821000323895232,,1.9523237519641505,-0.19262681135729362,,0.23365945112336123,-1272.5126558425384,,1313.4439087257444,6.304087148437802,0.6704664745605129,19.264601952122888,,,,0.09099543909202057,,-0.10033893492839036
CCSM4,-0.07165160437617857,-0.2898822941014012,2.1497712470525,0.22822487834172556,0.015945785327015294,-5.403530733778275,-2.0768011036028042,-8.391837992744456,62.23212041599696,8.769605691740452,5.3744491509869405,45.428918180974804,-5.602795602883937,-4.034852969395494,65.07765139947355,0.011395008062707851,0.05843912109617433,0.11460588038796232,0.16925571257407862,0.18102897949534152,0.4591909976966801,0.09760410780839868,-0.10885331634592399,2.608962245724876,-0.032819681332543385,-0.0060250086085648705,0.041903483390468205,32.676590733550995,2.0506994021300784,343.71861780515815,30.713651824547014,2.59845427423312,423.68847199390024,2.391098948563041,-4.070414514210057,239.20358771603568,-2.357406315923704,-1.5655879148375575,45.13367256252446,,,,0.018639308338124216,-0.03519281778140115,6.439022728621142,1.962938909003924,-0.5477548721029564,-79.96985418874209,-6.6928046095542015,3.0173888487591682,-107.66103857133763,6.71144387813618,-3.052581650359315,114.10006132816284,4.748505231401623,-2.504826625315644,194.0699151239761,-0.010423479690532787,-0.002601410399281894,0.015176898977899547,-0.13929330864513195,-0.02034039597614759,0.23948813861343557,-5.310282188565918,-1.8248359723997236,7.510584092707381,5.0581163483476885,0.4928804328719245,19.497382011925982,,,,,,
CESM-CAM5.1-FV,-0.004471804551568148,-0.3335672856249534,2.07458370245279,,,,-0.1270227935059367,-8.529311834509919,60.05481684945857,,6.108963790984141,39.04334811072219,,,,,,,0.12443444056678588,0.14649566224058896,0.37425154038943276,0.13124250301858353,-0.17579174814951593,2.4375553712735707,,,,,-0.13135958919605173,356.07770749856104,,0.7249161717147672,425.05849420612697,,-2.7367029002190577,215.75147818943267,,-1.2876048327673715,40.64949980178946,,,,,0.11497439119744257,7.023026723535041,9.65510221390224,-0.8562757609108189,-68.98078670756594,,2.4203480478942794,-99.0981650060524,,-2.3053737530183014,106.12119174162089,-59.526399602856586,-1.4490980773004196,175.1019783732433,,,,,,,,,,5.8843590296775865,0.1912919977933072,19.778326807941752,,,,,,
CSIRO-Mk3L-1-2,0.021189892023949275,-0.016071082314295992,1.6655116546961977,,,,0.6131333675697661,-0.46501975200299484,48.19189029781651,3.305038694829136,-2.2829102555699876,54.700183470746865,,,,,,,-0.086742729439725,-0.020713022564289474,0.32202663135106213,-0.06555283808978718,-0.036784108012892336,1.987538289352615,-0.009907808600807028,-0.00011709516559006185,0.0140505273249034,28.49004782666259,0.8733464158525521,344.89937082448364,26.550291443748335,-0.6007044497731044,431.0155843726917,1.401095847043564,-5.476891429161498,241.30172098458442,0.04622863014993328,-1.1505551557104852,47.833014668592426,,,,-0.6235499767955903,-0.10435653253834776,4.460419576312047,1.9397563829141689,1.4740508656255713,-86.11621354820801,-3.9181721141836476,2.747929947950894,-102.89207374175035,3.2946220576328926,-2.8522865691291344,107.35249337308025,1.3548672051687731,-4.326336656007413,193.46870636557884,-0.00011121723972423776,6.148057715335797e-05,0.00013446032486301082,,,,-0.01112172377710292,0.006148058675046796,0.01344603247224477,4.381963529196696,-0.03278224460641255,20.36238324033416,4.440980678164582,-0.07585281476871586,21.52284239075611,,,
CanESM2,-0.10426813676416691,-0.19455230668571244,1.7369245505955817,,,,-2.7709752115538038,-5.581648034343587,50.48437438890244,5.618257958734354,1.6615745640067487,52.3396729513094,-4.97742475156808,-2.614896555650631,73.15796886220757,,,,0.13948830375344168,0.03138705178084905,0.4527523395448626,0.03522016985873,-0.16316525049967456,2.189676889761606,-0.01361099639573312,-0.00035456102861128845,0.015361630222100632,41.92265477983278,0.5387466636239537,348.9352380759852,40.61771957613189,0.456492998781755,429.4140264584538,-0.7066749127443472,-5.2043407026106365,237.33919015383057,-1.5218005684753777,-0.9646963694986326,47.592407605090166,,,,-0.7272226095376126,-0.23731798451831132,6.443946919501265,1.3049352037008646,0.0822536648421277,-80.4787883824686,-2.847282718099507,3.9200735152677737,-102.82404735998654,2.1200601715159166,-4.157391480200047,109.26799418197332,0.8151256433433787,-4.239644312379625,189.74678266580503,-0.004082801230830288,-9.558319931351946e-05,0.004535832561184192,-0.13454736488206112,-0.014267183634479402,0.16482098876958043,-1.7928352989578988,-0.06697587170785102,2.0079510027112653,6.660814299663556,0.21500359227200505,20.839479887936456,,,,-35.241226844369464,-5.695484356436339,-220.30222702823335
GISS-E2-R,-0.30659340666503687,-0.47846410484353274,2.0909980300051885,,,,-8.87133714469622,-13.844447715566538,60.503416425614766,-8.421144931576208,-5.730863205640844,-50.56398907345883,-6.07089749618639,-5.482087268104962,59.93768138466588,-6.475857748841247,2.936189943426565,7.825817579607427,0.07130163910775955,0.032390017070247024,0.6592079690056547,-0.2352917761350133,-0.4460740912832053,2.7502060066921903,-0.036598233555156214,0.007243660956720396,0.056751138577478266,29.109018087470986,-1.3392298624025898,356.4826986478846,26.546631055633895,-0.7627481460791046,422.96272670572677,-6.079891528942767,-8.466697858013958,229.027662307818,-3.0798359845224326,-0.8866714876032873,41.08599502129242,,,,16.85481404338961,11.418802804897865,111.52221187771329,2.562387031837062,-0.5764817163235421,-66.48002805784213,17.29248201554377,19.575310890688616,-9.939427297684993,-0.4376680123806693,-8.156507943762364,121.46163918756841,-3.000055512267352,-7.580026415403637,187.94166729286053,-0.014776924211333326,0.006394843341241307,0.01838317241880927,-0.10668128855012002,-0.006925701002488349,0.2412723862982958,,,,4.45425459352138,-0.0796231802560925,20.279507988485122,4.459680662249582,-0.04021521467686284,-253.77474779767823,,,
HadCM3,0.07045517554428482,-0.14443370187129645,3.055714410765238,,,,,,,,,,,,,,,,-0.11667610556949409,0.01151394656643906,-0.11387448368809994,-0.04624288273049082,-0.1329066564611514,2.9418967749776064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7916186979868485,0.04202789487991154,12.788290310204893,,,,,,
HadGEM2-ES,-0.1538054360260679,-0.17911025484159238,2.1903595117938894,,,,-4.493903691284999,-5.196582011524427,63.45469150557749,10.24036287185529,3.8131553473130424,46.48532206198741,-7.535164451758817,-3.4430524531204583,62.239430984796236,,,,0.06503786309491116,0.12603083940304916,0.3764907394206719,-0.08876757821501435,-0.05307941818200801,2.5668502566733693,-0.0443591207642855,-0.004424707771070041,0.05297784083554822,41.99021405863539,1.7861081326616954,347.6226234765395,41.53471689481768,1.1654915422958538,431.8729318097328,3.9508092708557854,-4.0767649294367345,244.52526200772837,-0.5697539832226752,-1.830684969824759,42.95454316626867,,,,-0.7703987512629142,-0.24203617658562937,7.380396767136055,0.4554971638177534,0.6206165903658558,-84.25030833319327,-5.7464592340383405,1.3834266416331928,-109.94001352578451,4.976060379756873,-1.6254628423116912,117.3204103598333,4.520563225334797,-2.246079896399749,201.57071884614533,,,,,,,-3.3079729146984027,-0.3334789234960027,8.915890601067284,7.00134860131282,0.6021075286042787,20.128994510941627,,,,,,
IPSL-CM5A-LR,-0.07563020246573893,-0.3895384501843817,1.8296079624170904,,,,,,,7.895754206032642,3.0343814998401797,55.42012275160932,,,,,,,0.05540743717024088,0.05322700194537566,0.2387146902957507,-0.020222761670085188,-0.3363114492370556,2.0683226502766194,-0.025126034286900058,-0.001799842702917328,0.032828177537624376,40.13164265145144,3.3087804425961167,320.91499600522576,37.0654550342465,3.2327205008899114,415.06032825728323,1.7704207925750097,-11.030433684682919,265.30106903173106,-1.3199251799157707,-2.882640335201323,54.31648952703446,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.200679606086474,0.5765868919867536,18.36955876134112,,,,,,
MIROC-ESM,0.17408548040838756,-0.11533504314109733,2.2218425778345683,-0.02942829291411961,0.008572083215119979,0.0324034885657591,5.037195661504271,-3.3372408876657644,64.28942648131213,5.050037164281214,-1.0721487453752019,55.75461676618416,-2.8614204180232434,0.042061005199343526,66.9273219939488,,,,0.02144364207689292,0.010896330884135497,0.415256538961762,0.19552911524090932,-0.10443871464045706,2.637099120473992,-0.018220023773355312,0.004275049408986112,0.018963488388429456,47.82380958515921,-2.746839246796924,350.0537673586682,42.58685241804966,-4.130365384072775,423.22200007399374,-0.3322936175191842,-6.837258000187205,249.32810280523543,-3.500852875135294,-0.9761517358226044,49.33937192682299,,,,-1.6817160615296114,-0.0681890279913775,6.776454062577535,5.236957167109523,1.3835261372757657,-73.16823271532549,-10.087232755177311,4.409389886505053,-120.04404332787091,8.40551678499476,-4.47757865157665,126.82049732501632,3.1685593742310516,-5.861106474815017,199.98873091621232,-0.007910416034484018,0.004312858077098566,0.008264180007439682,-0.16529629446015426,0.009179563869248786,0.17879303138289948,-2.3731247913838245,1.2938574206980133,2.4792539835378893,6.675204548454772,-0.7379139765778575,20.95887242237844,,,,0.08213258929629393,-0.0014034020879634124,-0.09579802437275198
