,BNU-ESM_G1,BNU-ESM_abrupt4xCO2,BNU-ESM_piControl,CCSM4_G1,CCSM4_abrupt4xCO2,CCSM4_piControl,CESM-CAM5.1-FV_G1,CESM-CAM5.1-FV_abrupt4xCO2,CESM-CAM5.1-FV_piControl,CSIRO-Mk3L-1-2_G1,CSIRO-Mk3L-1-2_abrupt4xCO2,CSIRO-Mk3L-1-2_piControl,CanESM2_G1,CanESM2_abrupt4xCO2,CanESM2_piControl,EC-EARTH_G1,EC-EARTH_abrupt4xCO2,EC-EARTH_piControl,GISS-E2-R_G1,GISS-E2-R_abrupt4xCO2,GISS-E2-R_piControl,HadCM3_G1,HadCM3_abrupt4xCO2,HadCM3_piControl,HadGEM2-ES_G1,HadGEM2-ES_abrupt4xCO2,HadGEM2-ES_piControl,IPSL-CM5A-LR_G1,IPSL-CM5A-LR_abrupt4xCO2,IPSL-CM5A-LR_piControl,MIROC-ESM_G1,MIROC-ESM_abrupt4xCO2,MIROC-ESM_piControl,MPI-ESM-LR_G1,MPI-ESM-LR_abrupt4xCO2,MPI-ESM-LR_piControl,NorESM1-M_G1,NorESM1-M_abrupt4xCO2,NorESM1-M_piControl
evspsbl,1,1,0,2,2,3,1,2,1,3,3,1,3,1,1,0,0,0,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
hfdsn,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
hfls,1,1,1,2,3,3,1,2,1,3,3,1,3,1,1,0,0,0,3,3,3,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
hfss,1,1,1,2,3,3,1,1,1,3,3,1,3,1,1,0,0,0,3,3,3,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
hurs,0,1,1,2,3,3,0,0,0,3,3,0,3,1,1,0,0,0,3,5,3,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1
lwsnl,0,1,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
mrro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pr,1,1,1,2,3,3,1,1,1,3,3,1,3,1,1,1,1,1,3,4,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
rlds,1,1,1,2,3,3,1,1,1,3,3,1,3,1,1,0,1,0,3,4,3,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
rlus,1,1,1,2,3,3,1,1,1,3,3,1,3,1,1,0,0,0,3,3,3,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
rsds,1,1,1,2,3,3,1,1,1,3,3,1,3,1,1,0,1,0,3,4,3,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
rsus,1,1,1,2,3,3,1,1,1,3,3,1,3,1,1,0,0,0,3,3,3,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sbl,1,2,1,2,2,3,1,2,1,3,3,1,9,2,2,0,0,0,3,3,3,3,3,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1
snd,0,1,1,2,2,3,0,0,0,3,3,1,3,1,1,0,0,0,6,8,6,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1
snm,0,1,1,2,2,3,0,0,0,0,0,0,3,1,1,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
snw,0,1,1,2,2,3,0,0,0,3,3,1,3,1,1,0,0,0,0,3,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1
tas,1,1,1,2,3,3,1,2,1,3,3,1,3,1,1,1,1,1,3,4,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ts,0,0,0,2,1,1,0,0,0,3,3,1,3,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
tsn,0,1,1,2,2,3,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,1,1
